claim_id,student_person_id,promoter_person_id,student_name,teacher_name,relationship_type,claim_type,relationship_label,promotion_date,promotion_location,status,evidence_level,notes,original_status,publication_policy,original_sheet,original_row
R0375,P0434,P0183,Thamires Aquino,Júlio César Pereira,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Média,Post público indexado descreve Thamires Aquino como faixa-preta de Júlio César Pereira na GFTeam Méier.,Corroborado por fonte social,Exibir com atribuição e aviso de fonte social,Relações v0.6,17
R0356,P0419,P0420,Manu Perez,Mick Broster,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Página oficial da 10th Planet descreve Manu Perez como faixa-preta sob Eddie Bravo e Mick Broster.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,18
R0360,P0424,P0423,Manny Vazquez,Omar Ocasio,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,"Página oficial da 10th Planet informa que Manny Vazquez recebeu as faixas roxa, marrom e preta de Omar Ocasio.",Confirmado,Exibir,Relações v0.6,19
R0366,P0426,P0191,Bridget Grace,Renzo Gracie,Faixa-preta concedida por,black_belt_awarded_by,Faixa-preta concedida por,,,pending_review,Alta,Renzo Gracie Academy informa que Bridget Grace recebeu a faixa-preta do Mestre Renzo Gracie em 2020.,Confirmado,Exibir,Relações v0.6,20
R0365,P0425,P0191,Fábio Coelho,Renzo Gracie,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Renzo Gracie Academy descreve Fábio Coelho como faixa-preta sob Renzo Gracie.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,21
R0370,P0429,P0191,Mark Cerrone,Renzo Gracie,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Renzo Gracie Naples descreve Mark Cerrone como faixa-preta sob Renzo Gracie.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,22
R0367,P0427,P0191,Mike Jaramillo,Renzo Gracie,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Alta,Renzo Gracie Academy descreve Mike Jaramillo como faixa-preta sob Renzo Gracie e John Danaher.,Confirmado,Exibir com co-graduação / atribuição,Relações v0.6,23
R0371,P0430,P0191,Paul Creighton,Renzo Gracie,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Página de Paul Creighton registra suas graduações de grau sob Renzo Gracie e a relação de faixa-preta.,Apoiado por fonte da pessoa,Exibir com atribuição,Relações v0.6,24
R0369,P0428,P0191,Stan Beck,Renzo Gracie,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Alta,Renzo Gracie SLC descreve Stan Beck como faixa-preta sob Renzo Gracie.,Apoiado por fonte institucional,Exibir com atribuição,Relações v0.6,25
R0372,P0431,P0191,Tim Mannon,Renzo Gracie,Faixa-preta sob professor (fonte usa 'under'),black_belt_awarded_by,Faixa-preta sob professor (fonte usa 'under'),,,pending_review,Média,Página de Paul Creighton registra Tim Mannon recebendo graduação de grau sob Renzo Gracie; a relação de faixa-preta é tratada como apoiada e aguarda fonte biográfica individual.,Em revisão,Ocultar da árvore pública até fonte individual,Relações v0.6,26
R0329,P0393,P0266,Jorge Britto,Saulo Ribeiro,Faixa-preta sob professores (fonte cita múltiplos),black_belt_awarded_by,Faixa-preta sob professores (fonte cita múltiplos),,,pending_review,Média,GracieMag cita Jorge Britto como faixa-preta sob Saulo Ribeiro e Vini Aieta.,Corroborado por fonte especializada,Exibir com atribuição,Relações v0.6,27
